gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2016-03-14,0,1,0.99027066,0.86031066,0.67910561,0.44942555,0.31879806,0.19053139,1,2305,Kansas,9400.46,South,1
mens,2016-03-14,0,1,0.98853534,0.90950657,0.60925768,0.43642396,0.25887628,0.14951423,1,153,North Carolina,9300.94,East,1
mens,2016-03-14,0,1,0.98257765,0.80380925,0.51767831,0.30355732,0.17223795,0.09812291,1,258,Virginia,90,Midwest,1
mens,2016-03-14,0,1,0.9485191,0.77629788,0.59476162,0.33937835,0.17270088,0.08933146,1,127,Michigan State,90,Midwest,2
mens,2016-03-14,0,1,0.95858319,0.82132961,0.53341957,0.31970067,0.1428538,0.0681025,1,201,Oklahoma,90,West,2
mens,2016-03-14,0,1,0.96293972,0.76701243,0.47270538,0.22254275,0.13224493,0.06388272,1,222,Villanova,90,South,2
mens,2016-03-14,0,1,0.92530662,0.61058029,0.25123833,0.15873487,0.08473556,0.04440919,1,96,Kentucky,90,East,4
mens,2016-03-14,0,1,0.84810393,0.63003359,0.3985091,0.16156641,0.07438766,0.03410109,1,277,West Virginia,90,East,3
mens,2016-03-14,0,1,0.8419116,0.51862565,0.24470148,0.12956658,0.05802096,0.0268262,1,2509,Purdue,90,Midwest,5
mens,2016-03-14,0,1,0.97687859,0.72203287,0.43961241,0.22636162,0.07234725,0.02575957,1,2483,Oregon,90,West,1
mens,2016-03-14,0,1,0.88231513,0.5494919,0.24167014,0.12413686,0.052336,0.02372261,1,245,Texas A&M,90,West,3
mens,2016-03-14,0,1,0.5346827,0.33209294,0.15258642,0.06213827,0.03731344,0.0182432,1,12,Arizona,90,South,6
mens,2016-03-14,0,1,0.94127341,0.59532198,0.29417482,0.09856106,0.04215533,0.01808913,1,2752,Xavier,90,East,2
mens,2016-03-14,0,1,0.84597916,0.54298653,0.26249249,0.12109972,0.04348119,0.01714,1,150,Duke,90,West,4
mens,2016-03-14,0,1,0.79464229,0.42966905,0.13410495,0.06256299,0.03166823,0.01279134,1,120,Maryland,90,South,5
mens,2016-03-14,0,1,0.87683343,0.35794705,0.10951496,0.0576697,0.02564762,0.01139729,1,84,Indiana,90,East,5
mens,2016-03-14,0,1,0.85764429,0.36991532,0.14398713,0.05013132,0.02578158,0.01059523,1,2390,Miami (FL),90,South,3
