gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1.0,0.39938625325,0.188559936365,0.026181271483,0.006493740502,0.001937321065,0.000483544343,1,1,2483,Oregon,82.64,South,12,106
mens,2019-03-17,0,1.0,0.366500807142,0.079082807425,0.02771221726,0.007234187492,0.001861258495,0.000482353711,1,1,2550,Seton Hall,82.2,Midwest,10,90
mens,2019-03-17,0,1.0,0.247328644966,0.078327582838,0.02055644505,0.004720204584,0.00164134687,0.000476213898,1,1,2608,Saint Mary's (CA),83.58,South,11,114
mens,2019-03-17,0,1.0,0.505994711567,0.067735319848,0.022125786033,0.007009076825,0.001784127789,0.000457791522,1,1,328,Utah State,82.26,Midwest,8,68
mens,2019-03-17,0,1.0,0.470912476653,0.051603652823,0.022253210683,0.006280412825,0.001813963972,0.00043864542,1,1,145,Mississippi,81.64,South,8,100
mens,2019-03-17,0,1.0,0.494005288433,0.065142172129,0.020542702502,0.006295406794,0.001580508055,0.000400382918,1,1,264,Washington,82.55,Midwest,9,70
mens,2019-03-17,0,1.0,0.504988958792,0.046044131106,0.017880508138,0.006229458292,0.001527592614,0.000398891717,1,1,2670,Virginia Commonwealth,81.7,East,8,4
mens,2019-03-17,0,1.0,0.322401286673,0.060590912659,0.021827579319,0.003353566001,0.00105469684,0.000345293426,1,1,135,Minnesota,80.84,East,10,26
mens,2019-03-17,0,1.0,0.359772338639,0.111988912767,0.01706758314,0.004863188434,0.001156367101,0.000326297569,1,1,93,Murray State,81.29,West,12,42
mens,2019-03-17,1,0.575380643398,0.216725436478,0.088893384627,0.021064822931,0.003716571414,0.000991165229,0.000279403904,0,1,2057,Belmont,80.67,East,11a,18
mens,2019-03-17,1,0.533070935863,0.183091982353,0.047561326281,0.016567116593,0.004555862988,0.001025863581,0.000275656241,0,1,9,Arizona State,80.87,West,11a,50
mens,2019-03-17,0,1.0,0.495011041208,0.044527305564,0.014591605321,0.004307716281,0.001047347722,0.00027135907,1,1,2116,Central Florida,81.72,East,9,6
mens,2019-03-17,0,1.0,0.225787136977,0.090463179966,0.018532979945,0.005270449282,0.001152596531,0.00025679172,1,1,166,New Mexico State,80.91,Midwest,12,74
mens,2019-03-17,0,1.0,0.397021793112,0.03714212684,0.014375602928,0.003987448724,0.000821656358,0.000203786602,1,1,239,Baylor,80.76,West,9,38
mens,2019-03-17,1,0.424619356602,0.136818510519,0.049521726735,0.012512102332,0.002353396259,0.000542196542,0.000133723273,0,1,218,Temple,79.39,East,11b,19
mens,2019-03-17,0,1.0,0.20970805674,0.087916678564,0.009418119621,0.001965918499,0.000352946893,7.7207052e-05,1,1,261,Vermont,79.29,West,13,46
mens,2019-03-17,1,0.466929064137,0.121941765475,0.024633320398,0.005300612208,0.000926164797,0.000189762587,4.6822461e-05,0,1,2599,St. John's (NY),78.84,West,11b,51
mens,2019-03-17,0,1.0,0.174784013775,0.035289221396,0.005376261164,0.001170887834,0.000211488039,3.9397442e-05,1,1,111,Northeastern,78.58,Midwest,13,78
mens,2019-03-17,0,1.0,0.213552020992,0.041506647887,0.004370536057,0.001085400642,0.000196652932,3.8861066e-05,1,1,2335,Liberty,78.02,East,12,10
mens,2019-03-17,0,1.0,0.233375665627,0.071177113573,0.006111063783,0.000971058532,0.00019087984,3.1748371e-05,1,1,300,UC-Irvine,78.36,South,13,110
mens,2019-03-17,0,1.0,0.155832874011,0.040985552346,0.006486315022,0.000766187135,0.000121556478,2.1227381e-05,1,1,43,Yale,77.11,East,14,22
mens,2019-03-17,0,1.0,0.093947733322,0.026367729632,0.004168040771,0.000545222631,8.7163414e-05,1.7137134e-05,1,1,94,Northern Kentucky,77.27,West,14,54
mens,2019-03-17,0,1.0,0.111534344929,0.033187339158,0.002493302227,0.000460960818,8.247175e-05,1.6108038e-05,1,1,139,Saint Louis,77.01,East,13,14
mens,2019-03-17,0,1.0,0.119045658598,0.024981484648,0.003621363991,0.000479721483,8.8417185e-05,1.3815024e-05,1,1,295,Old Dominion,76.98,South,14,118
mens,2019-03-17,0,1.0,0.108542477452,0.022185830247,0.003396765014,0.000497136921,6.9789616e-05,1.0249156e-05,1,1,2247,Georgia State,76.3,Midwest,14,86
mens,2019-03-17,0,1.0,0.060029638245,0.012259952944,0.00230633467,0.00030404954,3.9312667e-05,6.344744e-06,1,1,149,Montana,76.17,West,15,62
mens,2019-03-17,0,1.0,0.050269448731,0.008787872152,0.001255694403,0.000125274965,1.8571903e-05,2.348641e-06,1,1,2142,Colgate,74.95,South,15,126
mens,2019-03-17,0,1.0,0.035533977121,0.005590131557,0.000829719435,4.9247143e-05,5.496487e-06,6.8911e-07,1,1,71,Bradley,72.91,East,15,30
mens,2019-03-17,0,1.0,0.018566161196,0.003723714323,0.000540988543,4.6835742e-05,4.268423e-06,3.35807e-07,1,1,2241,Gardner-Webb,71.74,South,16,98
mens,2019-03-17,0,1.0,0.030884584545,0.003997463343,0.000472896673,4.2008038e-05,3.490171e-06,3.10252e-07,1,1,2000,Abilene Christian,72.33,Midwest,15,94
mens,2019-03-17,0,1.0,0.022087375493,0.004434088699,0.000386727495,3.4456813e-05,2.586424e-06,2.08421e-07,1,1,314,Iona,71.88,Midwest,16,66
mens,2019-03-17,1,0.675134365816,0.005864061376,0.000769715828,6.4092644e-05,4.958027e-06,4.61499e-07,4.8664e-08,0,1,2449,North Dakota State,70.35,East,16b,3
mens,2019-03-17,1,0.452647381396,0.005571499223,0.000765977625,9.0292651e-05,7.270805e-06,4.46137e-07,3.5376e-08,0,1,2504,Prairie View,69.57,West,16b,35
mens,2019-03-17,1,0.547352618604,0.006186082686,0.000789662739,8.4395112e-05,6.153952e-06,3.99854e-07,3.351e-08,0,1,161,Fairleigh Dickinson,70.04,West,16a,34
mens,2019-03-17,1,0.324865634184,0.001937650381,0.000181875337,1.0328319e-05,5.47158e-07,2.1573e-08,9.89e-10,0,1,2428,North Carolina Central,65.48,East,16a,2
